FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;12;Diciembre;0;Nacionales;0;0;0;0;0;36;75;16;127;0;0;0;0;0;12;51;0;63;190;Sitio Arqueológico
20260505;2012;03;Apurímac;Sitio Arqueológico Saihuite;12;Diciembre;1;Extranjeros;0;0;0;0;0;0;13;0;13;0;0;0;0;0;0;0;0;0;13;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;01;Enero;0;Nacionales;0;0;0;0;0;6;9;0;15;0;0;0;0;0;0;0;0;0;15;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;01;Enero;1;Extranjeros;0;0;0;0;0;19;0;0;19;0;0;0;0;0;0;0;0;0;19;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;02;Febrero;0;Nacionales;0;0;0;0;0;20;0;40;60;0;0;0;0;0;0;0;0;0;60;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;02;Febrero;1;Extranjeros;0;0;0;0;0;12;0;0;12;0;0;0;0;0;0;0;0;0;12;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;03;Marzo;0;Nacionales;0;0;0;0;0;25;8;10;43;0;0;0;0;0;0;0;0;0;43;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;03;Marzo;1;Extranjeros;0;0;0;0;0;14;0;0;14;0;0;0;0;0;0;0;0;0;14;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;04;Abril;0;Nacionales;0;0;0;0;0;29;2;0;31;0;0;0;0;0;0;0;0;0;31;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;04;Abril;1;Extranjeros;0;0;0;0;0;14;0;0;14;0;0;0;0;0;0;0;0;0;14;Sitio Arqueológico
20260505;2012;04;Arequipa;Complejo Arqueológico Toro Muerto;05;Mayo;0;Nacionales;0;0;0;0;0;14;60;64;138;0;0;0;0;0;0;0;0;0;138;Sitio Arqueológico
